Exam board,Date,Morning/Afternoon,SDT11,Course,Qualification,Paper,Notes,Time,Duration,POS,Exam spec
CEA,11/06/2018,Morning,AP211,ICT,GCE,ICT A2 Unit 1 (2hrs),, 9:15 - 11:15,2hrs,,
CEA,11/06/2018,Morning,AR241,Religious Studies,GCE,Religious Studies A2 4 (2hrs),, 9:15 - 11:15,2hrs,,
CEA,11/06/2018,Morning,AR251,Religious Studies,GCE,Religious Studies A2 5 (2hrs),, 9:15 - 11:15,2hrs,,
CEA,11/06/2018,Morning,ARE41,Religious Studies,GCE,Religious Studies A2 4 (2hrs) (New),, 9:15 - 11:15,2hrs,,
CEA,11/06/2018,Morning,ARE51,Religious Studies,GCE,Religious Studies A2 5 (2hrs) (New),, 9:15 - 11:15,2hrs,,
CEA,11/06/2018,Morning,ARE61,Religious Studies,GCE,Religious Studies A2 6 (2hrs) (New),, 9:15 - 11:15,2hrs,,
CEA,12/06/2018,Morning,AD221,History of Art,GCE,History of Art A2 Unit 2 (2hrs),, 9:15 - 11:15,2hrs,,
CEA,12/06/2018,Morning,AHA21,History of Art,GCE,History of Art A2 Unit 2 (2hrs) (New),, 9:15 - 11:15,2hrs,,
CEA,13/06/2018,Morning,AMM21,Mathematics,GCE,Mathematics M2 (1hr 30m),, 9:15 - 10:45,1hr 30m,,
CEA,13/06/2018,Morning,AMX21,Moving Image Arts,GCE,Moving Image Arts A2 Unit 2 (2hr 30m) (New),,9:15 - 11:45,2hr 30m,,
CEA,14/06/2018,Morning,AEP31,Spanish,GCE,Spanish A2 Unit 3 (1hr) (New) ,, 9:15 - 10:15,1hr,,
CEA,14/06/2018,Morning,SPH32,Physics,GCE,Physics AS Unit 3 Theory (1hr),, 9:15 - 10:15,1hr,,
CEA,15/06/2018,Morning,A6J71,Applied ICT,GCE,Applied ICT A2 Unit 13 (1hr 30m),, 9:15 - 10:45,1hr 30m,,
CEA,15/06/2018,Morning,AAJ71,Applied ICT,GCE,Applied ICT A2 Unit 13 (1hr 30m) (New),, 9:15 - 10:45,1hr 30m,,
CEA,11/06/2018,Afternoon,A6B61,Applied Business,GCE,Applied Business A2 Unit 12 (1hr 30m),, 1:30 - 3:00,1hr 30m,,
CEA,11/06/2018,Afternoon,AAB61,Applied Business,GCE,Applied Business A2 Unit 12 (1hr 30m) (New) ,, 1:30 - 3:00,1hr 30m,,
CEA,11/06/2018,Afternoon,AB221,Biology,GCE,Biology A2 Unit 2 (2hrs),, 1:30 - 3:30,2hrs,,
CEA,11/06/2018,Afternoon,ABU21,Business Studies,GCE,Business Studies A2 Unit 2 (2hrs) (New) ,, 1:30 - 3:30,2hrs,,
CEA,11/06/2018,Afternoon,ABY21,Biology,GCE,Biology A2 Unit 2 (2hrs 15m) (New),, 1:30 - 3:45,2hrs 15m,,
CEA,11/06/2018,Afternoon,AGP11,Government and Politics,GCE,Government & Politics A2 Unit 1 (2hr 15m) (New),, 1:30 - 3:45,2hr 15m,,
CEA,11/06/2018,Afternoon,AQ211,Government and Politics,GCE,Government & Politics A2 Unit 1 (2hr 15m),, 1:30 - 3:45,2hr 15m,,
CEA,11/06/2018,Afternoon,AT221,Business Studies,GCE,Business Studies A2 Unit 2 (2hrs),, 1:30 - 3:30,2hrs,,
CEA,12/06/2018,Afternoon,AC222,Chemistry,GCE,Chemistry A2 Unit 2 (2hrs),, 1:30 - 3:30,2hrs,,
CEA,12/06/2018,Afternoon,ACH22,Chemistry,GCE,Chemistry A2 Unit 2 (2hrs) (New) ,,1:30 - 3:30,2hrs,,
CEA,12/06/2018,Afternoon,AE221,Economics,GCE,Economics A2 Unit 2 (2hrs),, 1:30 - 3:30,2hrs,,
CEA,12/06/2018,Afternoon,AEC21,Economics,GCE,Economics A2 Unit 2 (2hrs) (New) ,, 1:30 - 3:30,2hrs,,
CEA,12/06/2018,Afternoon,AEL21,English Literature,GCE,English Literature A2 2 (2hrs) (New) ,,1:30 - 3:30,2hrs,,
CEA,12/06/2018,Afternoon,AL221,English Literature,GCE,English Literature A2 2 (2hrs),,1:30 - 3:30,2hrs,,
CEA,13/06/2018,Afternoon,AH221,History,GCE,History A2 Unit 2 (2hrs),, 1:30 - 3:30,2hrs,,
CEA,13/06/2018,Afternoon,AHY21,History,GCE,History A2 Unit 2 (2hr 30m) (New),, 1:30 - 4:00,2hr 30m,,
CEA,14/06/2018,Afternoon,AGG31,Geography,GCE,Geography A2 3 (1hr 30m) (New),, 1:30 - 3:00,1hr 30m,,
CEA,14/06/2018,Afternoon,AGP21,Government and Politics,GCE,Government & Politics A2 Unit 2 (1hr 30m) (New),, 1:30 - 3:00,1hr 30m,,
CEA,14/06/2018,Afternoon,AQ221,Government and Politics,GCE,Government & Politics A2 Unit 2 (1hr 30m),, 1:30 - 3:00,1hr 30m,,
CEA,15/06/2018,Afternoon,AIR31,Irish,GCE,Irish A2 Unit 3 (1hr) (New) ,, 1:30 - 2:30,1hr ,,
CEA,15/06/2018,Afternoon,AMS41,Mathematics,GCE,Mathematics S2 (1hr 30m),, 1:30 - 3:00,1hr 30m,,
CEA,18/06/2018,Morning,AF221,French,GCE,French A2 2 Section A (40m),, 9:15 - 9:55,40m,,
CEA,18/06/2018,Morning,AF222,French,GCE,French A2 2 Section B & C (2hr 20m),,10:10 - 12:30,2hr 20m,,
CEA,18/06/2018,Morning,AFR21,French,GCE,French A2 2 Section A (45m) (New) ,, 9:15 - 10:00,45m,,
